GeneID	UHR_Rep1	UHR_Rep2	UHR_Rep3	HBR_Rep1	HBR_Rep2	HBR_Rep3
ENSG00000224794	0	0	0	0	0	0
ENSG00000224806	0	0	0	0	0	0
ENSG00000224856	0	0	0	0	0	0
ENSG00000224883	0	0	0	0	0	0
ENSG00000224973	0	1	0	0	0	0
ENSG00000225007	0	0	0	0	0	0
ENSG00000225098	0	0	0	0	0	0
ENSG00000225225	0	0	0	0	0	0
ENSG00000225255	2	0	0	0	0	0
ENSG00000225282	0	0	1	0	0	0
ENSG00000225293	0	0	0	0	0	0
ENSG00000225335	1	2	2	2	2	3
ENSG00000225413	0	0	0	0	0	0
ENSG00000225450	0	0	0	0	0	0
ENSG00000225465	6	2	1	170	171	176
ENSG00000225480	0	0	0	0	0	0
ENSG00000225528	7	0	7	0	0	0
ENSG00000225544	1	0	1	0	1	1
ENSG00000225557	0	0	0	0	0	0
ENSG00000225676	0	0	0	0	0	0
ENSG00000225720	0	0	0	0	0	0
ENSG00000225724	0	0	0	0	0	0
ENSG00000225741	0	0	0	0	0	0
ENSG00000225774	0	0	0	0	0	0
ENSG00000225783	64	46	62	600	683	670
ENSG00000225867	0	0	0	1	0	0
ENSG00000225929	0	1	0	0	1	0
ENSG00000225971	0	0	0	0	0	0
ENSG00000226024	0	0	0	0	0	0
ENSG00000226085	4	8	4	1	5	6
ENSG00000226142	0	0	0	0	0	0
ENSG00000226160	0	0	0	0	0	0
ENSG00000226169	0	0	0	0	0	0
ENSG00000226233	0	0	0	0	0	0
ENSG00000226287	0	1	5	5	8	1
ENSG00000226328	31	26	21	23	24	25
ENSG00000226336	0	0	0	0	0	0
ENSG00000226420	0	0	0	0	0	0
ENSG00000226444	0	0	0	0	0	0
ENSG00000226450	2	3	1	0	0	0
ENSG00000226471	5	6	9	1	4	2
ENSG00000226474	0	0	0	0	0	0
ENSG00000226477	0	0	0	0	0	0
